,node,id3,id2
0,E03D,0,30
1,G06N,1,79
2,E02B,2,52
3,B61K,3,61
4,B24C,4,1
5,B60D,5,89
6,F28B,6,104
7,B21F,7,6
8,B01D,8,86
9,C01D,9,107
10,G01D,10,64
11,A61J,11,57
12,B61C,12,61
13,B61D,13,61
14,E05F,14,56
15,H03M,15,21
16,F23R,16,117
17,D04C,17,108
18,F16M,18,69
19,H04K,19,43
20,F23C,20,117
21,B32B,21,97
22,G01G,22,64
23,B65F,23,118
24,C03B,24,8
25,H03F,25,21
26,C23F,26,38
27,B21K,27,6
28,A23F,28,100
29,H01J,29,36
30,C07J,30,72
31,H02B,31,10
32,A23B,32,100
33,D06H,33,62
34,F25C,34,77
35,G09C,35,93
36,F24B,36,103
37,A47G,37,39
38,A61L,38,57
39,C05B,39,116
40,C12C,40,18
41,H04W,41,43
42,F01K,42,54
43,A47F,43,39
44,A23L,44,100
45,G06E,45,79
46,B60W,46,89
47,A61D,47,57
48,F16L,48,69
49,B21D,49,6
50,G07D,50,82
51,A63B,51,3
52,D04B,52,108
53,D02G,53,34
54,H02S,54,10
55,E04F,55,70
56,F23L,56,117
57,A41D,57,87
58,E01F,58,84
59,C07H,59,72
60,B82B,60,11
61,C03C,61,8
62,G01M,62,64
63,B65H,63,118
64,G21G,64,81
65,C08K,65,53
66,A23N,66,100
67,C09B,67,63
68,B61F,68,61
69,C21C,69,20
70,B62L,70,26
71,F42D,71,47
72,F41G,72,115
73,G06M,73,79
74,F24H,74,103
75,F03H,75,71
76,B09C,76,44
77,B28D,77,7
78,B41F,78,114
79,B25H,79,60
80,B43K,80,94
81,B01B,81,86
82,C10M,82,29
83,G01R,83,64
84,H04L,84,43
85,D04H,85,108
86,D06L,86,62
87,F01D,87,54
88,B03D,88,110
89,B05B,89,0
90,B41J,90,114
91,B62H,91,26
92,C21D,92,20
93,C07D,93,72
94,B60R,94,89
95,G07C,95,82
96,H04S,96,43
97,E04H,97,70
98,A61Q,98,57
99,A43B,99,74
100,B29D,100,23
101,E05G,101,56
102,H04J,102,43
103,B21L,103,6
104,G16C,104,2
105,A23K,105,100
106,C12M,106,18
107,B08B,107,42
108,E01B,108,84
109,F24V,109,103
110,B25F,110,60
111,H01T,111,36
112,G01B,112,64
113,H04N,113,43
114,A01P,114,13
115,A62C,115,85
116,A62D,116,85
117,F21V,117,24
118,C10G,118,29
119,B62D,119,26
120,F23H,120,117
121,H03C,121,21
122,A61M,122,57
123,B27B,123,91
124,F16G,124,69
125,C10B,125,29
126,A23D,126,100
127,C01F,127,107
128,C08H,128,53
129,A41C,129,87
130,C02F,130,73
131,F24S,131,103
132,H05F,132,76
133,F02N,133,40
134,F17C,134,51
135,B07C,135,25
136,G03D,136,59
137,B68G,137,16
138,G01C,138,64
139,F23G,139,117
140,E21B,140,105
141,B24B,141,1
142,G21C,142,81
143,C07K,143,72
144,G01N,144,64
145,A61B,145,57
146,C01B,146,107
147,B62J,147,26
148,B41M,148,114
149,H02H,149,10
150,B28B,150,7
151,F16J,151,69
152,B65G,152,118
153,H01L,153,36
154,A61P,154,57
155,C08B,155,53
156,B41C,156,114
157,F02F,157,40
158,G16Y,158,2
159,G01T,159,64
160,H05H,160,76
161,F16K,161,69
162,F25B,162,77
163,H03K,163,21
164,B60J,164,89
165,F21L,165,24
166,C22F,166,37
167,G05G,167,58
168,A47K,168,39
169,G01F,169,64
170,F41B,170,115
171,A45B,171,50
172,C12P,172,18
173,G04G,173,68
174,E04B,174,70
175,B82Y,175,11
176,B61B,176,61
177,G01K,177,64
178,G04F,178,68
179,E03F,179,30
180,G05D,180,58
181,F21K,181,24
182,G08C,182,15
183,D06Q,183,62
184,A61K,184,57
185,G10K,185,17
186,B81B,186,32
187,G16B,187,2
188,C23C,188,38
189,E21F,189,105
190,G09G,190,93
191,D06N,191,62
192,E03C,192,30
193,F23Q,193,117
194,A45D,194,50
195,H03H,195,21
196,E04G,196,70
197,A63F,197,3
198,B44F,198,109
199,F23N,199,117
200,B43L,200,94
201,B21H,201,6
202,C10J,202,29
203,F22B,203,12
204,G03C,204,59
205,C25D,205,101
206,B60C,206,89
207,B24D,207,1
208,C25F,208,101
209,B60T,209,89
210,F27B,210,5
211,H04B,211,43
212,F17D,212,51
213,F03G,213,71
214,F23B,214,117
215,B21C,215,6
216,H02K,216,10
217,B23K,217,75
218,B06B,218,46
219,F01C,219,54
220,F03B,220,71
221,E04D,221,70
222,G07G,222,82
223,C08J,223,53
224,C09D,224,63
225,H01B,225,36
226,E05D,226,56
227,H05C,227,76
228,E01D,228,84
229,A47C,229,39
230,A46B,230,45
231,A61G,231,57
232,B63H,232,41
233,B26D,233,48
234,H01F,234,36
235,F21S,235,24
236,H01S,236,36
237,C08C,237,53
238,G01Q,238,64
239,B60P,239,89
240,F22D,240,12
241,A43C,241,74
242,B65C,242,118
243,F01N,243,54
244,C12R,244,18
245,G12B,245,92
246,G10L,246,17
247,E21D,247,105
248,F41H,248,115
249,D06P,249,62
250,H03D,250,21
251,B66C,251,96
252,G01V,252,64
253,A47L,253,39
254,H01C,254,36
255,F16F,255,69
256,B02B,256,99
257,A42B,257,95
258,B62K,258,26
259,B28C,259,7
260,G07B,260,82
261,F02K,261,40
262,G07F,262,82
263,B67D,263,4
264,F42C,264,47
265,C09K,265,63
266,C25B,266,101
267,C09F,267,63
268,F02D,268,40
269,B21J,269,6
270,F24T,270,103
271,F26B,271,19
272,C30B,272,65
273,B41L,273,114
274,H01Q,274,36
275,H01R,275,36
276,C06B,276,98
277,G11B,277,66
278,C08F,278,53
279,F25D,279,77
280,B60M,280,89
281,C13K,281,22
282,H03G,282,21
283,B02C,283,99
284,F02G,284,40
285,F23K,285,117
286,C11C,286,49
287,G06C,287,79
288,F24F,288,103
289,D06F,289,62
290,D02J,290,34
291,B05C,291,0
292,A01C,292,13
293,B27C,293,91
294,B25D,294,60
295,E04C,295,70
296,H04R,296,43
297,C12G,297,18
298,B64F,298,112
299,F21W,299,24
300,H01P,300,36
301,F02M,301,40
302,E05B,302,56
303,B65B,303,118
304,C10N,304,29
305,C07B,305,72
306,G09F,306,93
307,B22F,307,80
308,A43D,308,74
309,F28C,309,104
310,C22C,310,37
311,F02P,311,40
312,F28F,312,104
313,D21F,313,67
314,F16B,314,69
315,C22B,315,37
316,B33Y,316,78
317,B22D,317,80
318,B42D,318,27
319,A47J,319,39
320,G10H,320,17
321,B29K,321,23
322,C08L,322,53
323,H02J,323,10
324,F01B,324,54
325,G04C,325,68
326,F16T,326,69
327,F16S,327,69
328,A47H,328,39
329,D21H,329,67
330,G21K,330,81
331,B26B,331,48
332,E01C,332,84
333,G08B,333,15
334,A45F,334,50
335,G06J,335,79
336,C23G,336,38
337,B23H,337,75
338,F03D,338,71
339,C09G,339,63
340,A01H,340,13
341,B29L,341,23
342,G04R,342,68
343,B44C,343,109
344,A01K,344,13
345,C09C,345,63
346,H01H,346,36
347,G04B,347,68
348,B64C,348,112
349,G03G,349,59
350,F24D,350,103
351,F04F,351,55
352,G01L,352,64
353,A63J,353,3
354,C07C,354,72
355,F24J,355,103
356,A24F,356,14
357,B60N,357,89
358,B62M,358,26
359,G03H,359,59
360,B64D,360,112
361,H05B,361,76
362,G02C,362,88
363,C12N,363,18
364,H01M,364,36
365,F27D,365,5
366,B41N,366,114
367,F21Y,367,24
368,B66F,368,96
369,C25C,369,101
370,C05D,370,116
371,F02B,371,40
372,E02D,372,52
373,D21J,373,67
374,A01N,374,13
375,H02G,375,10
376,F22G,376,12
377,H02M,377,10
378,C05G,378,116
379,G05F,379,58
380,G09B,380,93
381,B63B,381,41
382,B67C,382,4
383,A23C,383,100
384,G01J,384,64
385,D03D,385,111
386,G06Q,386,79
387,G01W,387,64
388,G16Z,388,2
389,F23D,389,117
390,B60H,390,89
391,A01D,391,13
392,H01K,392,36
393,H01G,393,36
394,B23Q,394,75
395,A01M,395,13
396,H04M,396,43
397,B30B,397,90
398,F23J,398,117
399,B27G,399,91
400,E05C,400,56
401,B29C,401,23
402,C12Q,402,18
403,H03L,403,21
404,F01M,404,54
405,B61L,405,61
406,B03C,406,110
407,B61H,407,61
408,A47B,408,39
409,C05C,409,116
410,B09B,410,44
411,F01L,411,54
412,F25J,412,77
413,B23G,413,75
414,B29B,414,23
415,B63C,415,41
416,B21B,416,6
417,G06F,417,79
418,H03J,418,21
419,A61H,419,57
420,C21B,420,20
421,H04H,421,43
422,G06T,422,79
423,G06K,423,79
424,F01P,424,54
425,A62B,425,85
426,E06B,426,28
427,B22C,427,80
428,H03B,428,21
429,A44C,429,33
430,B04B,430,31
431,B65D,431,118
432,B23D,432,75
433,A47D,433,39
434,F04D,434,55
435,A61F,435,57
436,H05G,436,76
437,A21C,437,113
438,A21B,438,113
439,F16C,439,69
440,D06B,440,62
441,C40B,441,102
442,C14C,442,106
443,B60L,443,89
444,F28D,444,104
445,G16H,445,2
446,G10D,446,17
447,B26F,447,48
448,F15D,448,35
449,H02N,449,10
450,F17B,450,51
451,G01H,451,64
452,A01G,452,13
453,A41H,453,87
454,C04B,454,9
455,C11B,455,49
456,F41A,456,115
457,C14B,457,106
458,G08G,458,15
459,G01P,459,64
460,C05F,460,116
461,C01C,461,107
462,B62B,462,26
463,B23B,463,75
464,B60Q,464,89
465,G03B,465,59
466,D06C,466,62
467,A23P,467,100
468,C11D,468,49
469,B60G,469,89
470,C01G,470,107
471,C09J,471,63
472,B60B,472,89
473,B81C,473,32
474,G11C,474,66
475,F15B,475,35
476,B07B,476,25
477,A45C,477,50
478,D01F,478,83
479,H04Q,479,43
480,F42B,480,47
481,G06G,481,79
482,A61N,482,57
483,G02B,483,88
484,B23C,484,75
485,F16D,485,69
486,F16H,486,69
487,B60K,487,89
488,A61C,488,57
489,G06V,489,79
490,B01J,490,86
491,A44B,491,33
492,G03F,492,59
493,G05B,493,58
494,C10L,494,29
495,B25B,495,60
496,B60S,496,89
497,B25J,497,60
498,A01B,498,13
499,C07G,499,72
500,D06M,500,62
501,F28G,501,104
502,B23P,502,75
503,B05D,503,0
504,C08G,504,53
505,A23G,505,100
506,F04B,506,55
507,B61G,507,61
508,H02P,508,10
509,G02F,509,88
510,C07F,510,72
511,G01S,511,64
512,B66B,512,96
513,H05K,513,76
514,F16N,514,69
515,F02C,515,40
516,F24C,516,103
517,F04C,517,55
518,F23M,518,117
519,G21F,519,81
520,B01F,520,86
521,D21B,521,67
522,F16P,522,69
523,D01D,523,83
524,B01L,524,86
525,A63H,525,3
